ORIGINAL_NAME
"Zygophylax  doris (Faxon, 1893)"
"Bentheogennema intermedia (Bate, 1888)"
"Bentheogennema stephenseni Burkenroad, 1940"
"Bentheogennema pasithea (de Man, 1907)"
"Bentheogennema burkenroadi Krygier and Wasmer, 1975"
"Gennadas capensis Calman, 1925"
"Gennadas tinayrei Bouvier, 1906"
"Gennadas sordidus Kemp, 1910"
"Gennadas bouvieri Kemp, 1909"
"Gennadas incertus (Balss, 1927)"
"Gennadas propinquus Rathbun, 1906"
"Sergestes erectus Burkenroad, 1940"
"Sergestes pectinatus Sund, 1920"
"Sergestes sargassi Ortmann, 1893"
"Sergestes halia Faxon, 1893"
"Sergestes extensus Hanamura, 1983"
"Sergestes consobrinus Milne, 1968"
"Sergia scintillans (Burkenroad, 1940)"
"Sergia bigemmea (Burkenroad, 1940)"
"Sergia filicta (Burkenroad, 1940)"
"Sergia laminata (Burkenroad, 1940)"
"Petalidium suspiriosum Burkenroad, 1937"
"Oplophorus spinosus (Brulle, 1839)"
"Acanthephyra curtirostris Wood-Mason, 1891"
"Acanthephyra brevirostris Smith, 1885"
"Acanthephyra prionota Foxton, 1971"
"Acanthephyra eximea Smith, 1884"
"Acanthephyra cucullata Faxon, 1893"
Meningodora sp.
Notostomus sp.
"Hymenodora gracilis Smith, 1886"
"Systellaspis  braueri (Balss, 1914)"
"Systellaspis  cristata (Faxon, 1893)"
"Pasiphaea chacei Yaldwyn, 1962"
"Parapasiphaea sulcatifrons Smith, 1884"
"Eupasiphae gilesii Wood-Mason, 1892"
"Parapandalus richardi Coutiere, 1905"
"Plesionika aff. rossignoli Crosnier and Forest, 1968"
"Sergia maxima (Burkenroad, 1940)"
"Stenetrium vemae Kensley, 1980"
Glyptidotea lichtensteini (Krauss 1843)
"Paridotea ungulata (Pallas, 1772)"
"Cirolana saldanhae Barnard, 1951"
"Cymodoce unguiculata Barnard, 1914"
Cymodocealla sublevis Barnard
"Jaeropsis monsmarinus Kensley, 1980"
"Boreomysis oparva Saltzman and Bowman, 1993"
"Embassichthys bathybius (Gilbert, 1890)"
Sebastodes ruberrimus Cramer
"Plesionika crosnieri Burukovskiy, 1992"
Bodianus diplotaenius Gill
"Acanthocybium solandri (Cuvier, 1832)"
"Pterygotrigla picta (Günther, 1880)"
"Parafilitanais similis Kudinova-Pasternak, 1990"
"Pseudobathytanais shtokmani Kudinova-Pasternak, 1990"
"Apseudes diversus (Lang, 1968)"
"Leptognathia breviremis (Lilljeborg, 1864)"
"Typhlotanais  spinicauda Hansen, 1913"
"Typhlotanais  inermis Hansen, 1913"
"Collettea minima (Hansen, 1913)"
"Cryptocopoides arctica (Hansen, 1913)"
"Glyphocrangon fimbriata Komai and Takeuchi, 1994"
"Chaceon imperialis Manning, 1992"
"Poecilasma aurantia Darwin, 1852"
"Scillaelepas rhabdota Young, 1999"
"Scillaelepas brasiliensis Young, 1999"
"Pasiphaea acutifrons Bate, 1888"
"Pasiphaea kaiwiensis Rathbun, 1906"
"Janicella spinicauda A. Milne Edwards, 1883"
"Oplophorus gracilirostris A. Milne Edwards, 1881"
"Acanthephyra quadrispinosa Kemp, 1939"
"Acanthephyra acutifrons Bate, 1888"
"Acanthephyra smithi Kemp, 1939"
"Acanthephyra sibogae de Man, 1916"
"Ephyrina benedicti Smith, 1885"
"Hymenodora frontalis Rathbun, 1902"
"Meningodora vesca Smith, 1886"
"Meningodora mollis Smith, 1882"
"Meningodora marptocheles Chace, 1940"
"Notostomus elegans A. Milne Edwards, 1881"
"Notostomus gibbosus A. Milne Edwards, 1881"
"Notostomus distirus Chace, 1940"
"Systellaspis  debilis A. Milne Edwards, 1881"
"Nematocarcinus productus Bate, 1888"
"Lebbeus profundus Rathbun, 1906"
"Heterocarpus agassizi Allen and Butler, 1994"
"Stylopandalus richardi (Coutiere, 1905)"
"Plesionika kensleyi Chace, 1985"
"Glyphocrangon joani Allen and Butler, 1994"
"Pontophilus gracilis abyssiSmith, 1884"
"Macroregonia macrochira Sakai, 1978"
"Oregonia bifurca Rathbun, 1902"
"Chionoecetes japonicus pacificusSakai, 1978"
"Ovalipes iridescens (Miers, 1886)"
"Neopilumnoplax major Sakai, 1978"
"Geryon affinis A. Milne Edwards and Bouvier, 1894"
Progeryon guinotae Crosnier
"Lithodes nintokuae Sakai, 1978"
Lithodes longispina Sakai
"Paralomis pacifica Sakai, 1978"
Eualus sp.
Lebbeus sp. 1
Thoralus sp.
Uroptychus sp. 1
Munidopsis sp. 1
Parapagurus sp.
"Sympagurus dimorphus (Studer, 1883)"
Polycheles sp.
"Funchalia villosa (Bouvier, 1905)"
Notostomus auriculatus Barnard
Synalpheus huluensis africanusCrosnier and Forest
Eualus ctenifera Barnard
Pagurus cuanensis Bell
"Eumunida picta Smith, 1883"
"Pseudodromia cacuminis Kensley, 1980"
Paramola alcocki Stebbing
Paramola cuvieri Risso
"Macropodia cirripilus Kensley, 1980"
"Pilumnus sp. nov. (649) Kensley, 1980"
Plagusia chabrus (Linnaeus)
Alpheus macrocheles (Hailstone)
Pontophilus sculptus (Bell)
Pagurus chevreuxi Bouvier
Pseudactaea corallina (Alcock)
"Parthenope allisoni Garth, 1992"
"Parthenope mironovi (Zarenkov, 1990)"
"Heptranchias perlo (Bonnaterre, 1788)"
"Scymnorhinus licha (Bonnaterre, 1788)"
"Chimaera monstrosa Linnaeus, 1758"
"Rouleina maderensis Maul, 1948"
"Xenodermichthys  copei (Gill, 1884)"
"Polymetme corythaeola (Alcock, 1898)"
"Maurolicus muelleri (Gmelin, 1789)"
"Aulopus filamentosus Cloquet, 1816"
"Chlorophthalmus agassizi Bonaparte, 1840"
"Bathytyphlops marionae Mead, 1958"
"Bathymicrops regis Hjort and Koefoed, 1912"
"Neoscopelus macrolepidotus Johnson, 1863"
"Chlopsis bicolor Rafinesque, 1810"
"Gnathophis mystax (Delaroche, 1809)"
"Gnathophis codoniphorus Maul, 1972"
