ScientificName
Corallina sp
Corallina officinalis
Chondria secundata
Schottera nicaeensis
Ahnfeltiopsis furcellata
Chondracanthus chamissois
Balanus laevis
Ulva sp
Brachidontes granulata
Lessonia spicata
Mazzaella laminarioides
Pyropia orbicularis
Centroceras rodamanii
Perumytilus purpuratus
Chtamalus cirratus
Sarcothalia crispata
Capreolia implexa
Phragmatopoma moerchi
Semimytilus algosus
Corallinales
Lithothamniaceae
Mytilus chilensis
Ulva intestinalis
Pyropia sp
Austrolitorina araucana
Bacillariophycanae
Scytosiphon lomentaria
Gelidium chilense
Ceramium sp
Rhizoclonium ambigum
Mastocarpus latissiumus
Nothogenia sp
Notochthamalus scabrosus
Trematocarpus dichotomus
Haliclona sp
Ahanfeltiopsis durvillae
